attribute,mean,sd
AvgAccel,24.174243562185186,24.566189517227414
AvgArea,0.11296706792592592,0.013938963307730132
AvgVelocity,1.544672487,1.0692757825126524
COGZ,0.3129509347407407,0.03792635893454338
Joint1_Distance,0.020346744074074073,0.07352507771256878
Joint2_Distance,0.796223884037037,0.8058177954638953
Joint3_Distance,0.084312905407407407,0.16019006910096667
Joint4_Distance,1.671340378074074,0.29317129542734655
Joint5_Distance,1.381325925925926e-4,8.513813330711416e-5
Joint6_Distance,1.286305181185185,0.2753814103141235
Joint7_Distance,0.13785847574074075,0.15885670711730934
MaxAccel,269.6752751511111,261.2982643689683
MaxVelocity,5.89277069462963,3.7922847739412564
PathLengthDifference,0.3433651254444445,0.3466574023628872
Pitch,0.5565532987037036,1.1078460460667074
RangeX,0.35247411803703704,0.040834086382296235
RangeY,0.06394372166666666,0.049535767926451285
RangeZ,0.36088295944444443,0.1059721447568866
Roll,95.84555440777777,14.289226545343947
TimeElapsed,3.908310431074074,1.791223322074512
TwistX,0.10671378833333334,0.05657396985811108
TwistY,0.011251817222222222,0.012458086257250875
TwistZ,-0.07483926855555556,0.05002162695137811
Yaw,92.02709366555555,2.8853681692423354
