"id","condition","AvgVelocity","MaxVelocity","AvgAccel","MaxAccel","PathLengthDifference","RangeX","RangeY","RangeZ","TimeElapsed"
"P10","A",1.72569541,9.561791547,25.004253,462.2242749,0.182147269,0.354002332,0.058734938,0.344930973,4.114337206
"P10","B",0.397011603,2.13748744,6.451974899,63.06353324,0.090215298,0.251955747,0.04019957,0.376734065,5.724865675
"P10","C",0.554260271,2.114369517,7.587539876,62.81538515,0.010917577,0.290644624,0.058660747,0.296883547,3.461656809
"P10","D",0.714325895,3.746313555,9.652466134,59.09299859,0.353514805,0.368711065,0.17621402,0.359520045,6.385529995
"P10","E",1.579004021,9.567021053,15.85799181,127.0258906,1.865899674,0.409676406,0.623405999,0.769628582,12.05689716
"P10","F",1.05935185,3.782801484,13.97470142,125.4587694,0.452068565,0.354753973,0.155602702,0.46305501,7.271776199
"P10","G",0.490270598,2.663106027,7.197416311,65.5742511,0.167307803,0.315160236,0.095484204,0.334354097,7.128880978
"P10","H",1.018096765,4.776769189,12.60208821,63.55748055,0.247453686,0.312910781,0.039484776,0.298785699,4.292665482
"P11","A",1.142368433,3.059947884,14.02992276,64.57512432,0.101745103,0.359427493,0.102679333,0.338392584,2.707134724
"P11","B",0.548451646,2.122641187,7.960308834,62.31889205,0.05399053,0.282034038,0.044057691,0.378093871,3.685174227
"P11","C",0.735507436,2.653506024,10.39976457,62.91345933,0.020615011,0.298721019,0.052604582,0.295128881,3.251647711
"P11","D",1.609189731,5.893502515,16.74644452,99.883243,0.48259314,0.328439353,0.204887625,0.390729039,6.676415443
"P11","E",0.370562455,1.421925733,2.53456746,60.73260147,0.144315802,0.334236098,0.054121221,0.375092567,2.823129892
"P11","F",0.37663196,2.676512893,5.059233382,64.05729335,0.122480538,0.107495483,0.043881002,0.064343743,5.515105247
"P11","G",0.715496316,2.922533221,10.48515533,64.089945,0.118756746,0.294244056,0.027298198,0.37569752,4.261959791
"P11","H",1.507535285,9.655533953,25.51109733,487.8853717,0.192587727,0.316733737,0.114033017,0.349340725,2.589864492
"P12","A",2.514987844,9.81050723,30.41792002,482.851626,1.047549599,0.363361291,0.211743536,0.534950345,4.975732327
"P12","B",1.206937942,4.900767035,13.43401452,84.46674332,0.584043411,0.343052517,0.218909336,0.322186312,6.92685771
"P12","C",1.735843866,7.289400329,19.7908671,118.0760226,0.600964517,0.065427114,0.304476955,0.04168418,2.563704729
"P12","D",1.654087103,9.760232303,18.51935455,123.2166264,2.326351824,0.510292269,0.954607636,0.421488319,10.05303645
"P12","E",3.139833804,9.859073934,61.23243752,515.0695946,1.704082256,0.405170747,0.597434747,0.42716751,11.70675516
"P12","F",0.76330663,5.816022909,6.330688057,111.5550398,1.290401807,0.39550242,0.492415182,0.309166683,9.712405682
"P12","G",1.159217083,3.69315323,15.82607395,64.86966935,0.963052916,0.316644944,0.379514887,0.435673011,8.243785381
"P12","H",1.655701734,6.466494986,20.59799293,66.70333422,1.082405385,0.354484867,0.489182434,0.303743584,3.845281363
"P13","A",2.803768575,9.535501491,40.07302001,479.5499528,0.471437174,0.34514437,0.086913474,0.369291364,3.93322134
"P13","B",1.006967538,5.843508568,10.83373477,105.0076408,0.148578626,0.26275376,0.05950698,0.367776062,5.207005978
"P13","C",4.305290469,9.547454587,42.61616888,476.4448611,0.010233695,0.282513626,0.050938164,0.340181161,2.420519352
"P13","D",3.153066833,9.673910414,63.37599093,499.5425041,0.286927738,0.25931764,0.169011278,0.373680076,4.957189798
"P13","E",2.409824675,9.583238024,32.52721176,513.7632834,0.110262866,0.279994577,0.039963523,0.351046063,2.56423068
"P13","F",2.260940513,9.570771332,22.87916868,487.642053,0.155182885,0.300694083,0.054317825,0.38017533,5.329246759
"P13","G",2.436029653,7.387287513,23.39049228,65.76896466,0.043339647,0.296633447,0.047364669,0.328740465,3.121675253
"P13","H",2.091264725,7.417125142,22.73171088,99.6783875,0.013764035,0.278821201,0.057748943,0.372377362,2.637196302
"P14","A",2.011410368,10.29943111,49.86757245,522.2654328,1.230933636,0.357159239,0.117639652,0.622478945,6.657679796
"P14","B",0.113996129,1.065654373,1.875845492,63.27041191,0.06222638,0.205537491,0.037277024,0.231586078,2.941674471
"P14","C",0.451829861,2.159074336,6.029309519,64.44704584,0.036912726,0.268139968,0.061828939,0.307537154,3.169239998
"P14","D",0.740966425,2.129527777,10.90969394,65.36031448,0.438823653,0.289488793,0.194048948,0.320540556,3.997309208
"P14","E",2.737626118,9.633135499,34.66624064,507.4079801,1.07626325,0.330510101,0.235044035,0.346115762,5.875228167
"P14","F",0.560250927,1.402504718,6.752634066,61.41840595,0.699111952,0.313011333,0.074083901,0.342213639,4.430553198
"P14","G",0.457781428,1.510403868,4.067862349,64.00297349,0.456255962,0.312080574,0.139259522,0.299431899,5.226182699
"P14","H",2.960217616,9.58871301,38.06155626,484.3191167,0.448999019,0.340001741,0.098141373,0.337128726,2.651345968
"P15","A",4.44635407,9.89418655,112.6524037,763.3939777,0.205660778,0.415304201,0.040598148,0.334702392,2.646283865
"P15","B",3.330261662,9.581217288,42.43744145,499.1577121,0.036124796,0.302385402,0.047727812,0.341291896,2.820865631
