"id","condition","AvgVelocity","PathLengthDifference","RangeZ","TimeElapsed"
"P10","A",1.72569541,0.182147269,0.344930973,4.114337206
"P10","B",0.397011603,0.090215298,0.376734065,5.724865675
"P10","C",0.554260271,0.010917577,0.296883547,3.461656809
"P10","D",0.714325895,0.353514805,0.359520045,6.385529995
"P10","E",1.579004021,1.865899674,0.769628582,12.05689716
"P10","F",1.05935185,0.452068565,0.46305501,7.271776199
"P10","G",0.490270598,0.167307803,0.334354097,7.128880978
"P10","H",1.018096765,0.247453686,0.298785699,4.292665482
"P11","A",1.142368433,0.101745103,0.338392584,2.707134724
"P11","B",0.548451646,0.05399053,0.378093871,3.685174227
"P11","C",0.735507436,0.020615011,0.295128881,3.251647711
"P11","D",1.609189731,0.48259314,0.390729039,6.676415443
"P11","E",0.370562455,0.144315802,0.375092567,2.823129892
"P11","F",0.37663196,0.122480538,0.064343743,5.515105247
"P11","G",0.715496316,0.118756746,0.37569752,4.261959791
"P11","H",1.507535285,0.192587727,0.349340725,2.589864492
"P12","A",2.514987844,1.047549599,0.534950345,4.975732327
"P12","B",1.206937942,0.584043411,0.322186312,6.92685771
"P12","C",1.735843866,0.600964517,0.04168418,2.563704729
"P12","D",1.654087103,2.326351824,0.421488319,10.05303645
"P12","E",3.139833804,1.704082256,0.42716751,11.70675516
"P12","F",0.76330663,1.290401807,0.309166683,9.712405682
"P12","G",1.159217083,0.963052916,0.435673011,8.243785381
"P12","H",1.655701734,1.082405385,0.303743584,3.845281363
"P13","A",2.803768575,0.471437174,0.369291364,3.93322134
"P13","B",1.006967538,0.148578626,0.367776062,5.207005978
"P13","C",4.305290469,0.010233695,0.340181161,2.420519352
"P13","D",3.153066833,0.286927738,0.373680076,4.957189798
"P13","E",2.409824675,0.110262866,0.351046063,2.56423068
"P13","F",2.260940513,0.155182885,0.38017533,5.329246759
"P13","G",2.436029653,0.043339647,0.328740465,3.121675253
"P13","H",2.091264725,0.013764035,0.372377362,2.637196302
"P14","A",2.011410368,1.230933636,0.622478945,6.657679796
"P14","B",0.113996129,0.06222638,0.231586078,2.941674471
"P14","C",0.451829861,0.036912726,0.307537154,3.169239998
"P14","D",0.740966425,0.438823653,0.320540556,3.997309208
"P14","E",2.737626118,1.07626325,0.346115762,5.875228167
"P14","F",0.560250927,0.699111952,0.342213639,4.430553198
"P14","G",0.457781428,0.456255962,0.299431899,5.226182699
"P14","H",2.960217616,0.448999019,0.337128726,2.651345968
"P15","A",4.44635407,0.205660778,0.334702392,2.646283865
"P15","B",3.330261662,0.036124796,0.341291896,2.820865631
"P15","C",0.669326898,0.02473635,0.326883523,3.453411579
"P15","D",3.818930467,0.228304046,0.396670851,5.116332531
"P15","E",2.52180845,0.418381227,0.378898274,7.055471182
"P15","F",1.080325728,0.055566695,0.243504351,3.751006365
"P15","G",2.609791418,0.019583022,0.351907751,4.127643347
"P15","H",3.449576538,1.830470178,0.367047486,9.990263939
"P16","A",0.92020934,0.170320339,0.32678317,1.52913332
"P16","B",0.72694034,0.297389991,0.281187796,6.306174517
"P16","C",1.67030247,0.463138882,0.417977183,3.233930349
"P16","D",0.26162793,0.586704116,0.368071489,8.539865971
"P16","E",1.418548938,2.536287616,0.721376027,5.107853174
"P16","F",0.590679398,0.830405522,0.327188371,6.417098284
"P16","G",0.237010098,0.12417269,0.306130187,3.455954552
"P16","H",0.9261216,0.515637594,0.368306349,2.913664341
"P17","A",0.280254117,0.131838001,0.359416537,4.316717386
"P17","B",0.211470202,0.177780778,0.145337542,4.596776485
"P17","C",0.389824708,0.058932358,0.346701787,4.655636549
"P17","D",0.136973653,0.042307917,0.456447577,4.125006914
"P17","E",0.662000944,0.919577784,0.618281743,3.885015488
"P17","F",0.501277699,1.234726724,0.725086311,10.99817109
"P17","G",0.190706683,0.228239013,0.409284779,4.584965706
"P17","H",0.440320872,0.573734877,0.306731556,3.846533298
"P18","A",0.386823752,0.176532663,0.331664697,3.161267281
"P18","B",0.2284177,0.018998344,0.296022947,4.366174221
"P18","C",0.30738186,0.037872991,0.323814914,2.672816515
"P18","D",1.178824336,1.268226352,0.363940493,9.165083885
"P18","E",1.30313376,1.187873098,0.381897288,9.020424366
"P18","F",0.27068038,0.123789308,0.325391176,5.578918934
"P18","G",0.188681146,0.052151286,0.387568098,4.86374712
"P18","H",1.210627694,0.078150368,0.30622918,4.082136631
"P19","A",0.493111161,0.028275612,0.092902556,1.195785999
"P19","B",0.031288767,0.06382377,0.193954571,8.852675438
"P19","C",1.182192743,0.028345654,0.360093047,3.722157001
"P19","D",2.579092659,1.041165304,0.730515431,10.77713895
"P19","E",0.711224577,2.753349619,0.67706903,8.962575436
"P19","F",0.958610739,0.261309582,0.33917163,10.43743491
"P19","G",0.108948855,0.106449578,0.236047998,12.99920273
"P19","H",3.519877409,0.087056387,0.323100504,2.914110661
"P20","A",2.06653367,0.236619582,0.337132817,2.658065081
"P20","B",1.10493914,0.166858362,0.328844667,6.775165319
"P20","C",2.243232996,0.203878746,0.388601344,3.847250462
"P20","D",1.914915227,0.607905581,0.556274839,5.240020275
"P20","E",1.689044733,1.005852478,0.378884836,7.164355993
"P20","F",1.31279798,0.314751938,0.374669875,5.765602112
"P20","G",0.634200639,0.032452975,0.315042793,5.244553328
"P20","H",1.817611256,0.063809219,0.311809211,2.367962122
"P21","D",0.34520541,0.369858561,0.332801184,10.89354968
