id,condition,Yaw,Pitch,Roll,TwistX,TwistY,TwistZ,AvgVelocity,MaxVelocity,AvgAccel,MaxAccel,AvgArea,COGZ,PathLengthDifference,RangeX,RangeY,RangeZ,TimeElapsed,Joint7_Distance,Joint6_Distance,Joint5_Distance,Joint4_Distance,Joint3_Distance,Joint2_Distance,Joint1_Distance
P10,A,94.32770641,0.004330391,108.122047,0.085662008,0.014424679,-0.072900724,1.72569541,9.561791547,25.004253,462.2242749,0.127590313,0.336497014,0.182147269,0.354002332,0.058734938,0.344930973,4.114337206,0.077458573,1.118620585,0.00011452,1.580081433,0.000184962,1.189305291,8.18E-05
P10,B,93.16459588,0.002970842,111.4510894,0.043689602,0.007054688,-0.063047938,0.397011603,2.13748744,6.451974899,63.06353324,0.137070002,0.361497615,0.090215298,0.251955747,0.04019957,0.376734065,5.724865675,0.070993483,0.925015315,0.00010275,1.02573914,6.94E-05,0.933384243,1.33E-05
P10,C,93.37697605,0.004849688,109.745352,0.083356055,0.016582841,-0.08562997,0.554260271,2.114369517,7.587539876,62.81538515,0.131397647,0.349421721,0.010917577,0.290644624,0.058660747,0.296883547,3.461656809,0.074818848,0.915725415,7.82E-05,1.15793925,6.66E-05,0.721727242,1.32E-05
P10,D,97.51374392,0.003409831,102.2492155,0.053710956,0.008825569,-0.047629012,0.714325895,3.746313555,9.652466134,59.09299859,0.124576043,0.36306493,0.353514805,0.368711065,0.17621402,0.359520045,6.385529995,0.384344746,1.109009249,0.00013307,1.702614813,0.000169332,1.53196777,3.33E-05
P10,E,102.1925673,0.002384969,95.32220881,0.02428194,0.006108806,-0.027897053,1.579004021,9.567021053,15.85799181,127.0258906,0.106993273,0.396404341,1.865899674,0.409676406,0.623405999,0.769628582,12.05689716,1.691239989,1.404226648,0.00015477,2.814196146,0.000331856,3.288312671,0.00016393
P10,F,101.7373755,0.002284266,95.57903337,0.036086941,-0.008026255,-0.051187494,1.05935185,3.782801484,13.97470142,125.4587694,0.105297516,0.373214872,0.452068565,0.354753973,0.155602702,0.46305501,7.271776199,0.313071097,1.168420845,9.36E-05,1.849597607,0.000162081,2.120821979,6.49E-05
P10,G,95.64321018,0.003417792,99.79486515,0.043766587,0.006581074,-0.041817225,0.490270598,2.663106027,7.197416311,65.5742511,0.129577165,0.351767219,0.167307803,0.315160236,0.095484204,0.334354097,7.128880978,0.234911049,0.973750113,0.00018702,1.313918995,0.00019692,1.047583444,2.54E-05
P10,H,91.74943517,0.003909374,92.97651982,0.071695786,0.006415817,-0.040018056,1.018096765,4.776769189,12.60208821,63.55748055,0.125266797,0.312945591,0.247453686,0.312910781,0.039484776,0.298785699,4.292665482,0.071643294,1.182640565,9.26E-05,1.13319236,0.000100838,0.232903426,4.07E-05
P11,A,95.58962177,0.252070653,93.88864987,0.132987594,0.037530404,-0.109906818,1.142368433,3.059947884,14.02992276,64.57512432,0.113877405,0.303042797,0.101745103,0.359427493,0.102679333,0.338392584,2.707134724,0.129539884,1.298875204,8.91E-05,1.59205607,0.010068638,0.054400318,2.67E-05
P11,B,92.26264425,0.13724304,106.3203212,0.077109419,0.011775774,-0.103123976,0.548451646,2.122641187,7.960308834,62.31889205,0.122223588,0.289295363,0.05399053,0.282034038,0.044057691,0.378093871,3.685174227,0.057592464,1.136705985,6.96E-05,1.13808886,0.010509067,0.183616639,1.43E-05
P11,C,92.17802109,0.223366339,93.94792005,0.091170814,0.01447251,-0.087921957,0.735507436,2.653506024,10.39976457,62.91345933,0.123764972,0.336220716,0.020615011,0.298721019,0.052604582,0.295128881,3.251647711,0.072029901,1.046485941,0.00011373,1.09769242,0.009539689,0.000144742,2.26E-05
