Time,Position,Velocity
1723672551.556121,"[ 0.00000000e+00  4.06596299e-05  2.94267982e-01 -3.14151622e+00
 -2.26917251e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  7.95448397e-06 -3.18179359e-05  0.00000000e+00
  2.64948966e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.5577688,"[ 0.00000000e+00  4.06596299e-05  2.94267982e-01 -3.14151622e+00
 -2.26917277e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  7.95440473e-06 -3.18179359e-05  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.5595093,"[ 0.00000000e+00  4.06596299e-05  2.94267982e-01 -3.14151622e+00
 -2.26917277e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  7.95448397e-06 -3.18179359e-05  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.5606885,"[ 0.00000000e+00  4.06596299e-05  2.94267982e-01 -3.14151622e+00
 -2.26917277e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  7.94846874e-06 -3.18179359e-05  0.00000000e+00
 -2.65149457e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.5623696,"[ 0.00000000e+00  4.02004402e-05  2.94267982e-01 -3.14151622e+00
 -2.26917277e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  5.30298914e-06 -3.18179359e-05  0.00000000e+00
 -2.64948966e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.5640802,"[ 0.00000000e+00  4.02004402e-05  2.94267982e-01 -3.14151622e+00
 -2.26917277e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  5.30298914e-06 -3.18179359e-05 -5.29497611e-06
 -2.65149457e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.5658755,"[ 0.00000000e+00  4.02004402e-05  2.94268415e-01 -3.14151622e+00
 -2.26917277e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  5.30298914e-06 -2.65149452e-05 -5.29497611e-06
 -2.64951608e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.567585,"[ 0.00000000e+00  4.02004402e-05  2.94268415e-01 -3.14151622e+00
 -2.26917277e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  0.00000000e+00 -2.65149452e-05 -5.29497611e-06
 -7.95448397e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.5694492,"[ 0.00000000e+00  4.02004402e-05  2.94268415e-01 -3.14151622e+00
 -2.26917277e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  0.00000000e+00 -2.65350217e-05 -5.29497611e-06
 -7.95448397e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.571207,"[ 0.00000000e+00  4.02004402e-05  2.94268415e-01 -3.14151622e+00
 -2.26917277e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  0.00000000e+00 -2.65149452e-05 -5.29497611e-06
 -7.95448397e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.5729961,"[ 0.00000000e+00  4.02004402e-05  2.94268415e-01 -3.14151622e+00
 -2.26917277e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  0.00000000e+00 -2.65149452e-05 -5.29497611e-06
 -7.94846874e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.574697,"[ 0.00000000e+00  4.02004402e-05  2.94268881e-01 -3.14151622e+00
 -2.26917277e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  0.00000000e+00 -2.38634509e-05 -5.29497611e-06
 -1.32474486e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.5758963,"[ 0.00000000e+00  4.02004402e-05  2.94268881e-01 -3.14151622e+00
 -2.26917277e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  0.00000000e+00 -1.85745164e-05 -5.29502843e-06
 -1.32574726e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.5775447,"[ 0.00000000e+00  4.02004402e-05  2.94268881e-01 -3.14151622e+00
 -2.26917251e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  0.00000000e+00 -1.85604623e-05 -5.29492328e-06
 -1.05980643e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.579311,"[ 0.00000000e+00  4.02004402e-05  2.94268881e-01 -3.14151622e+00
 -2.26917251e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  0.00000000e+00 -1.85743315e-05 -5.29497611e-06
 -1.06060839e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.5810971,"[ 0.00000000e+00  4.02004402e-05  2.94269347e-01 -3.14151622e+00
 -2.26917251e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  0.00000000e+00 -1.32574726e-05 -5.29492328e-06
 -1.05979587e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.5828912,"[ 0.00000000e+00  4.02004402e-05  2.94269347e-01 -3.14151622e+00
 -2.26917251e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  0.00000000e+00 -1.32574726e-05 -5.29897933e-06
 -1.05979587e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.584118,"[ 0.00000000e+00  4.02004402e-05  2.94269347e-01 -3.14151622e+00
 -2.26917251e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  0.00000000e+00 -1.32675109e-05 -5.29497611e-06
 -1.06059783e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.585972,"[ 0.00000000e+00  4.02004402e-05  2.94269347e-01 -3.14151622e+00
 -2.26917251e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  0.00000000e+00 -1.32374398e-05 -5.29497611e-06
 -5.30298914e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.5877964,"[ 0.00000000e+00  4.02004402e-05  2.94269813e-01 -3.14151622e+00
 -2.26917251e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  0.00000000e+00 -7.94246417e-06 -5.29497611e-06
 -5.30298914e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
1723672551.5894701,"[ 0.00000000e+00  4.06596299e-05  2.94269813e-01 -3.14151622e+00
 -2.26917251e+00  2.48241025e-05  9.59997002e-01  1.57079739e+00]","[ 0.00000000e+00  5.30293632e-06 -7.94246417e-06  0.00000000e+00
 -5.30298914e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
